32040,196,6279776,6279840,64,1.01913E-05,0.001019134
32018,156,4995604,4994808,796,0.000159365,0.015936549
32083,71,2277561,2277893,332,0.000145749,0.014574872
32133,164,5267844,5269812,1968,0.000373448,0.037344786
32115,75,2408625,2408625,0,0,0
32054,26,832589,833404,815,0.000977917,0.097791707
32025,34,1089275,1088850,425,0.00039032,0.039032006
32005,65,2080325,2080325,0,0,0
32062,16,512992,512992,0,0,0
32156,137,4398504,4405372,6868,0.001559006,0.155900569
32075,141,4527375,4522575,4800,0.001061342,0.106134227
32016,19,608303,608304,1,1.64391E-06,0.000164391
32054,136,4362948,4359344,3604,0.00082673,0.082672989
32029,20,640580,640580,0,0,0
32113,48,1541424,1541424,0,0,0
32106,161,5170682,5169066,1616,0.000312629,0.031262901
32113,21,674373,674373,0,0,0
32186,175,5632469,5632550,81,1.43807E-05,0.00143807
32024,8,256284,256192,92,0.000359106,0.035910567
32128,65,2088320,2088320,0,0,0
32174,46,1479905,1480004,99,6.68917E-05,0.006689171
32010,29,928126,928290,164,0.000176669,0.017666893
32021,141,4516305,4514961,1344,0.000297677,0.029767699
32158,104,3350292,3344432,5860,0.001752166,0.175216599
32025,159,5093175,5091975,1200,0.000235665,0.023566494
32042,150,4808797,4806300,2497,0.000519526,0.051952645
32160,164,5272624,5274240,1616,0.000306395,0.030639485
32174,145,4659918,4665230,5312,0.001138636,0.113863625
32041,68,2178788,2178788,0,0,0
32040,97,3105944,3107880,1936,0.000622933,0.062293267
32069,162,5196351,5195178,1173,0.000225786,0.02257863
32009,188,6017692,6017692,0,0,0
32164,139,4464839,4470796,5957,0.001332425,0.133242492
32122,153,4920942,4914666,6276,0.001276994,0.12769942
32194,6,193349,193164,185,0.000957735,0.09577354
32147,171,5497137,5497137,0,0,0
32011,67,2144737,2144737,0,0,0
32187,26,837897,836862,1035,0.001236763,0.123676305
32091,111,3556277,3562101,5824,0.00163499,0.163499014
32198,196,6310744,6310808,64,1.01413E-05,0.001014133
32116,27,865271,867132,1861,0.002146155,0.214615537
32162,61,1961878,1961882,4,2.03886E-06,0.000203886
32159,67,2154653,2154653,0,0,0
32164,119,3833755,3827516,6239,0.001630039,0.163003891
