221697,  32039,  7094551347
236719, 141047, 33330259997
195035, 141200, 27430920944
181867,  42656,  7762792336
236824, 168058, 39787943043
206733, 230248, 47631414076
233307,  74041, 17273607087
188576, 252916, 47693214832
  3168,   3935,    12480671
 56549,  28479,  1623484251
 45540, 108910,  4928485579
 35606, 158204,  5570141604
  7195,  12884,    92445148
179151, 251454, 45049058545
244548, 110438, 27086862715
 39934,  71111,  2840013369
222849, 224813, 50072499117
235809, 260868, 61515022212
128382, 180891, 23223133605
191686,  42043,  8055650717
 54288,  74228,  4033679152
107009,  31676,  3381212092
 42572, 200226,  8524395539
  1880, 159676,   392526940
 11594,  91299,  1067033197
191188, 253362, 48445517291
 97295,  29652,  2901522796
 18363, 202932,  3720360828
 51153,  14022,   715212339
154774,  49622,  7680405345
109592,  31071,  3420508007
 20507, 220408,  4519796372
127201,  77816,  9898273916
116876, 163845, 19118205628
161876,  92980, 15083403264
   297,  16911,     5098599
195884,  30278,  5943391619
 14420, 246088,  3548564716
 93786,  63323,  5939245401
  6367, 170584,  1063237428
213012, 124778, 26577956423
218201, 215787, 47084939187
261581,  67097, 17551739497
 63906, 209175, 13367474437
143942,  65517,  9430647994
134829,  12401,  1672036125
215604, 235143, 50674871387
202694, 197974, 40128070449
200630, 132130, 26504325425
156719,  97386, 15244621797
