105,  11,  1155
208, 116, 23088
 38,  41,  1434
133,  29,  3777
 85, 115,  8431
129, 226, 29171
105, 139, 13123
245, 160, 39024
237,  26,  6447
 11,  42,   473
  0, 136, 65468
206,  59, 12149
229, 176, 40304
174,  90, 15925
  3, 173,   519
 76, 236, 17916
228,  41,  9216
 36, 210,  7467
 84, 183, 15211
133, 100, 13060
114,  26,  3169
 95, 149, 16139
101,  81,  8181
 83, 169, 14103
 20,  39,  1003
232, 195, 45175
  5, 114,   255
174,  15,  2609
 81,  18,  1475
220, 137, 31976
 59, 177, 10443
164, 133, 19956
229, 164, 37124
 77,  93,  6953
 59,  91,  5449
207,  51, 10557
251, 122, 30937
107, 106, 12665
111,  86,  9597
133,  91, 12023
111, 137, 14051
  2, 111,    77
119, 212, 25228
 99, 159, 14349
 38, 126,  6425
201, 236, 47436
 84, 231, 19627
143, 133, 19979
131, 244, 31964
254, 129, 32574
