221697,  32039,  7107177643
236719, 141047, 33417475819
195035, 141200, 27561659312
181867,  42656,  7770106544
236824, 168058, 39863959995
206733, 230248, 47630323372
233307,  74041, 17288513211
188576, 252916, 47722344428
  3168,   3935,    13152943
 56549,  28479,  1612321471
 45540, 108910,  4968232879
 35606, 158204,  5700550396
  7195,  12884,    96808620
179151, 251454, 45064532927
244548, 110438, 27016590507
 39934,  71111,  2839834555
222849, 224813, 50145451435
235809, 260868, 61573260028
128382, 180891, 23267385771
191686,  42043,  8066650043
 54288,  74228,  4049453804
107009,  31676,  3393762236
 42572, 200226,  8576646827
  1880, 159676,   357094332
 11594,  91299,  1072977323
191188, 253362, 48455115179
 97295,  29652,  2888986540
 18363, 202932,  3757169324
 51153,  14022,   719035323
154774,  49622,  7689584043
109592,  31071,  3408649903
 20507, 220408,  4586023676
127201,  77816,  9901648892
116876, 163845, 19189181691
161876,  92980, 15064321708
   297,  16911,     8772079
195884,  30278,  5934095547
 14420, 246088,  3594833580
 93786,  63323,  5950100651
  6367, 170584,  1112688300
213012, 124778, 26593700523
218201, 215787, 47137736427
261581,  67097, 17554722027
 63906, 209175, 13404677611
143942,  65517,  9442773739
134829,  12401,  1674075823
215604, 235143, 50753680571
202694, 197974, 40156072875
200630, 132130, 26535472299
156719,  97386, 15278564267
