25088, 19340,  485200828
29018, 64348,          x
60027, 62367,          x
44733, 42500,          x
34979, 36867, 1289554409
 4278, 32794,          x
34873,   754,   26294241
49901, 49865, 2488313361
63646, 58704, 3736270688
45900, 27673,          x
41595, 37557, 1562167031
35336, 14227,          x
 5182, 10320,   53473120
47133, 40884,          x
39185, 33632,          x
26530, 57761,          x
15193, 15749,          x
32962, 63511,          x
51552, 45200, 2330129856
46520, 41489, 1930047544
52286, 65302,          x
28066, 22805,          x
38029, 65149,          x
54670, 23208,          x
10777, 20143,  217081111
55938, 41438,          x
23304, 19268,  449020192
10486, 59769,          x
45737,  3900,  178374300
11640, 44697,          x
32117, 30234,          x
 4593, 12140,          x
50524,  7819,          x
49218, 25817,          x
22778, 24662,          x
60083,  3491,          x
50123, 23755,          x
63987, 41714, 2669149621
20715, 60007,          x
 6150, 25028,          x
 3476, 43499,          x
13066, 17461,  228145410
50127, 62107,          x
63500,  3359,          x
65429, 58584,          x
53734, 12291,  660440497
 4051, 23509,          x
60259, 61109, 3682367231
65161, 61596,          x
12692, 17349,  220193444
